name_norm,ss__c0,ss_Player,ss_Pos,ss_Age,ss_Tm,ss_G,ss_GS,ss_MP,ss_PER,ss_TS%,ss_3PAr,ss_FTr,ss_ORB%,ss_DRB%,ss_AST%,ss_STL%,ss_BLK%,ss_TOV%,ss_USG%,ss_OWS,ss_DWS,ss_OBPM,ss_DBPM,ss_VORP,ss_3P,ss_3P%,ss_FT%,ss_ORB,ss_AST,ss_STL,ss_BLK,ss_TOV,pl_Player,pl_height,pl_weight,pl_collage,pl_birth_city,pl_birth_state,pd_name,pd_position,pd_height,pd_birth_date,pd_college
brian skinner,15923.0,Brian Skinner,PF,25.0,CLE,65.0,8.0,1107.0,11.3,0.569,0.0,0.488,10.0,19.8,2.3,1.2,4.0,17.6,9.9,1.0,1.0,-2.8,0.8,0.0,0.0,0.24879631551634632,0.608,93.0,17.0,24.0,61.0,42.0,Brian Skinner,206.0,115.0,Baylor University,Temple,Texas,Brian Skinner,F,6-9,"May 19, 1976",Baylor University
brian skinner,18112.0,Brian Skinner,C,29.0,POR,27.0,5.0,515.0,10.3,0.496,0.0,0.319,10.6,19.2,4.1,1.5,3.4,20.6,12.0,-0.1,0.4,-3.7,1.1,-0.1,0.0,0.24879631551634632,0.517,46.0,13.0,14.0,23.0,27.0,Brian Skinner,206.0,115.0,Baylor University,Temple,Texas,Brian Skinner,F,6-9,"May 19, 1976",Baylor University
mike wilks,18201.0,Mike Wilks,PG,26.0,TOT,47.0,0.0,348.0,5.8,0.398,0.211,0.456,3.1,10.4,13.9,2.1,0.2,18.2,17.3,-0.5,0.2,-5.3,-1.0,-0.4,3.0,0.158,0.61,9.0,32.0,14.0,1.0,24.0,Mike Wilks,178.0,83.0,Rice University,Milwaukee,Wisconsin,Mike Wilks,G,5-10,"May 7, 1979",Rice University
terry dehere,13539.0,Terry Dehere,PG,26.0,SAC,77.0,18.0,1410.0,10.8,0.494,0.293,0.22,1.6,6.9,22.4,1.9,0.2,16.3,18.6,0.3,0.7,-1.7,-2.4,-0.8,50.0,0.379,0.798,21.0,196.0,52.0,4.0,96.0,Terry Dehere,188.0,86.0,Seton Hall University,New York,New York,Terry Dehere,G,6-2,"September 12, 1971",Seton Hall University
brian skinner,14381.0,Brian Skinner,PF,22.0,LAC,21.0,0.0,258.0,13.2,0.503,0.0,0.465,8.7,16.0,0.7,2.1,3.8,18.2,18.4,0.0,0.1,-4.5,-1.8,-0.3,0.0,0.24879631551634632,0.606,20.0,1.0,10.0,13.0,19.0,Brian Skinner,206.0,115.0,Baylor University,Temple,Texas,Brian Skinner,F,6-9,"May 19, 1976",Baylor University
mike wilks,19304.0,Mike Wilks,PG,28.0,DEN,8.0,0.0,122.0,6.4,0.503,0.217,0.087,3.6,7.0,6.6,2.0,0.0,17.3,10.1,0.0,0.1,-3.3,-0.3,0.0,2.0,0.4,1.0,4.0,6.0,5.0,0.0,5.0,Mike Wilks,178.0,83.0,Rice University,Milwaukee,Wisconsin,Mike Wilks,G,5-10,"May 7, 1979",Rice University
walt hazzard,3944.0,Walt Hazzard,PG,31.0,SEA,49.0,23.593374650359237,571.0,12.6,0.465,0.15860433144009717,0.25,2.9,7.0,27.6,2.0,0.5,15.085098559901962,18.906491853360468,0.2,0.4,-1.5,-1.7,-0.2,22.215036720029588,0.24879631551634632,0.756,18.0,122.0,26.0,6.0,73.93983201832528,Walt Hazzard,201.0,102.0,Unknown,Unknown,Unknown,Walt Hazzard,G,6-2,"April 15, 1942","University of California, Los Angeles"
brian skinner,16956.0,Brian Skinner,C,27.0,MIL,56.0,54.0,1577.0,14.4,0.513,0.0,0.269,8.6,21.0,5.3,1.0,2.8,12.0,18.7,1.2,1.6,-1.5,0.4,0.4,0.0,0.24879631551634632,0.572,119.0,49.0,30.0,61.0,78.0,Brian Skinner,206.0,115.0,Baylor University,Temple,Texas,Brian Skinner,F,6-9,"May 19, 1976",Baylor University
ricky davis,20049.0,Ricky Davis,SF,30.0,LAC,36.0,2.0,499.0,8.5,0.504,0.294,0.217,2.3,11.0,12.3,1.1,0.4,15.6,16.8,-0.1,0.2,-3.4,-1.8,-0.4,16.0,0.381,0.581,10.0,39.0,11.0,3.0,29.0,Ricky Davis,198.0,88.0,University of Iowa,Las Vegas,Nevada,Ricky Davis,G,6-6,"September 23, 1979",University of Iowa
eric williams,16469.0,Eric Williams,SF,30.0,BOS,82.0,79.0,2350.0,13.1,0.538,0.191,0.466,6.7,11.8,10.4,1.9,0.6,12.3,15.6,3.4,2.6,-0.9,0.6,1.0,37.0,0.336,0.75,143.0,140.0,86.0,19.0,97.0,Eric Williams,203.0,99.0,Providence College,Newark,New Jersey,Eric Williams,F,6-8,"July 17, 1972",Providence College
ricky davis,17217.0,Ricky Davis,SG,25.0,BOS,82.0,11.0,2696.0,15.0,0.547,0.173,0.337,2.9,7.8,15.5,1.7,0.8,14.6,23.4,2.5,1.7,0.3,-1.4,0.6,61.0,0.339,0.815,66.0,246.0,89.0,27.0,205.0,Ricky Davis,198.0,88.0,University of Iowa,Las Vegas,Nevada,Ricky Davis,G,6-6,"September 23, 1979",University of Iowa
brian skinner,21006.0,Brian Skinner,C,34.0,MIL,2.0,0.0,6.0,0.0,0.49300126334664623,0.15860433144009717,0.32545504587156027,0.0,0.0,0.0,0.0,0.0,15.085098559901962,0.0,0.0,0.0,-7.2,1.3,0.0,0.0,0.24879631551634632,0.7192786333417487,0.0,0.0,0.0,0.0,0.0,Brian Skinner,206.0,115.0,Baylor University,Temple,Texas,Brian Skinner,F,6-9,"May 19, 1976",Baylor University
