name_norm,ss__c0,ss_Player,ss_Pos,ss_Age,ss_Tm,ss_G,ss_GS,ss_MP,ss_PER,ss_TS%,ss_3PAr,ss_FTr,ss_ORB%,ss_DRB%,ss_AST%,ss_STL%,ss_BLK%,ss_TOV%,ss_USG%,ss_OWS,ss_DWS,ss_OBPM,ss_DBPM,ss_VORP,ss_3P,ss_3P%,ss_FT%,ss_ORB,ss_AST,ss_STL,ss_BLK,ss_TOV,pl_Player,pl_height,pl_weight,pl_collage,pl_birth_city,pl_birth_state,pd_name,pd_position,pd_height,pd_birth_date,pd_college
sean elliott,13560.0,Sean Elliott,SF,29.0,SAS,36.0,36.0,1012.0,9.5,0.495,0.297,0.257,1.9,11.6,10.0,1.3,1.0,14.5,18.3,-0.1,1.5,-2.2,0.7,0.1,34.0,0.378,0.718,16.0,62.0,24.0,14.0,57.0,Sean Elliott,203.0,92.0,University of Arizona,Tucson,Arizona,Sean Elliott,F,6-8,"February 2, 1968",University of Arizona
sean elliott,15112.0,Sean Elliott,SF,32.0,SAS,52.0,34.0,1229.0,12.4,0.544,0.381,0.248,1.6,13.4,10.8,1.0,1.4,11.9,16.3,1.3,1.7,0.0,0.8,0.9,55.0,0.426,0.714,17.0,81.0,23.0,25.0,51.0,Sean Elliott,203.0,92.0,University of Arizona,Tucson,Arizona,Sean Elliott,F,6-8,"February 2, 1968",University of Arizona
wayne stevens,1571.0,Wayne Stevens,F,23.0,CIN,8.0,23.593374650359237,49.0,6.1,0.278,0.15860433144009717,0.526,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,-0.2,0.0,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.7,62.18920998220897,4.0,39.89705245948935,24.470260133673126,73.93983201832528,Wayne Stevens,190.0,83.0,University of Cincinnati,Unknown,Unknown,Wayne Stevens,F,6-3,"June 19, 1936",University of Cincinnati
sean elliott,14100.0,Sean Elliott,SF,30.0,SAS,50.0,50.0,1509.0,12.6,0.493,0.235,0.276,2.8,12.5,13.3,0.9,0.8,11.1,19.7,1.3,2.2,-0.5,0.5,0.7,39.0,0.328,0.757,35.0,117.0,26.0,17.0,71.0,Sean Elliott,203.0,92.0,University of Arizona,Tucson,Arizona,Sean Elliott,F,6-8,"February 2, 1968",University of Arizona
pops mensah-bonsu,20297.0,Pops Mensah-Bonsu,PF,26.0,TOT,20.0,0.0,120.0,11.4,0.448,0.0,0.727,16.1,18.3,3.6,1.7,5.7,18.7,20.3,-0.1,0.1,-5.0,0.2,-0.1,0.0,0.24879631551634632,0.542,16.0,3.0,4.0,9.0,10.0,Pops Mensah-Bonsu,206.0,108.0,George Washington University,London,United Kingdom,Pops Mensah-Bonsu,F,6-9,"September 7, 1983",George Washington University
geoff crompton,5455.0,Geoff Crompton,C,23.0,DEN,20.0,23.593374650359237,88.0,2.6,0.416,0.15860433144009717,0.462,7.2,20.0,7.3,0.0,1.8,27.7,19.0,-0.2,0.1,-8.4,-1.4,-0.2,22.215036720029588,0.24879631551634632,0.5,6.0,5.0,0.0,3.0,12.0,Geoff Crompton,211.0,127.0,University of North Carolina,Burlington,North Carolina,Geoff Crompton,C,6-11,"July 4, 1955",University of North Carolina
pops mensah-bonsu,20298.0,Pops Mensah-Bonsu,PF,26.0,HOU,4.0,0.0,13.0,15.2,0.377,0.0,1.5,8.5,27.5,11.0,3.9,5.6,0.0,22.6,0.0,0.0,-4.9,3.8,0.0,0.0,0.24879631551634632,0.5,1.0,1.0,1.0,1.0,0.0,Pops Mensah-Bonsu,206.0,108.0,George Washington University,London,United Kingdom,Pops Mensah-Bonsu,F,6-9,"September 7, 1983",George Washington University
pops mensah-bonsu,19693.0,Pops Mensah-Bonsu,PF,25.0,TOR,19.0,0.0,263.0,12.9,0.421,0.021,0.427,22.5,23.4,3.6,1.6,1.2,13.0,23.0,-0.1,0.3,-4.0,-2.4,-0.3,0.0,0.0,0.683,50.0,6.0,8.0,4.0,17.0,Pops Mensah-Bonsu,206.0,108.0,George Washington University,London,United Kingdom,Pops Mensah-Bonsu,F,6-9,"September 7, 1983",George Washington University
odie spears,1117.0,Odie Spears,SF,30.0,FTW,72.0,23.593374650359237,1378.0,11.3,0.441,0.15860433144009717,0.429,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,0.7,1.3,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.791,62.18920998220897,121.0,39.89705245948935,24.470260133673126,73.93983201832528,Odie Spears,196.0,92.0,Western Kentucky University,Unknown,Unknown,Odie Spears,G,6-5,"June 17, 1924",Western Kentucky University
charles o'bannon,13741.0,Charles O'Bannon,SG,22.0,DET,30.0,0.0,234.0,10.5,0.423,0.043,0.217,7.1,9.7,12.0,2.1,0.3,10.6,16.8,0.0,0.2,-3.0,-0.6,-0.1,0.0,0.0,0.8,14.0,17.0,9.0,1.0,9.0,Charles O'Bannon,196.0,94.0,"University of California, Los Angeles",Bellflower,California,Charles O'Bannon,G-F,6-5,"February 22, 1975","University of California, Los Angeles"
haywoode workman,12289.0,Haywoode Workman,PG,29.0,IND,69.0,14.0,1028.0,12.1,0.484,0.364,0.275,2.5,10.4,28.8,3.1,0.4,19.5,16.7,0.4,1.5,-0.8,0.4,0.4,35.0,0.357,0.743,21.0,194.0,59.0,5.0,73.0,Haywoode Workman,188.0,81.0,Oral Roberts University,Charlotte,North Carolina,Haywoode Workman,G,6-2,"January 23, 1966",Oral Roberts University
haywoode workman,13407.0,Haywoode Workman,PG,31.0,IND,4.0,2.0,81.0,11.0,0.538,0.15,0.05,6.0,4.3,23.4,2.0,0.0,19.7,14.5,0.1,0.1,-0.4,-1.0,0.0,0.0,0.0,0.0,4.0,11.0,3.0,0.0,5.0,Haywoode Workman,188.0,81.0,Oral Roberts University,Charlotte,North Carolina,Haywoode Workman,G,6-2,"January 23, 1966",Oral Roberts University
charles o'bannon,14290.0,Charles O'Bannon,SG,23.0,DET,18.0,1.0,165.0,13.3,0.47,0.018,0.143,13.3,11.9,13.4,0.7,1.5,11.8,19.4,0.2,0.1,-0.5,-1.1,0.0,0.0,0.0,1.0,18.0,12.0,2.0,3.0,8.0,Charles O'Bannon,196.0,94.0,"University of California, Los Angeles",Bellflower,California,Charles O'Bannon,G-F,6-5,"February 22, 1975","University of California, Los Angeles"
phil pressey,23954.0,Phil Pressey,PG,24.0,PHI,14.0,0.0,170.0,11.8,0.437,0.236,0.327,0.0,15.2,43.2,3.2,0.4,23.2,21.1,-0.2,0.2,-4.2,-1.5,-0.2,4.0,0.308,0.5,0.0,46.0,11.0,1.0,19.0,Phil Pressey,180.0,79.0,University of Missouri,Dallas,Texas,Phil Pressey,G,5-11,"February 17, 1991",University of Missouri
al harrington,14659.0,Al Harrington,PF,19.0,IND,50.0,0.0,854.0,10.8,0.524,0.129,0.42,6.4,14.2,7.1,1.5,0.7,17.2,20.1,0.1,0.9,-2.3,-0.3,-0.1,8.0,0.235,0.703,47.0,38.0,25.0,9.0,65.0,Al Harrington,206.0,104.0,Unknown,Orange,New Jersey,Al Harrington,F,6-9,"February 17, 1980",Unknown
al harrington,15160.0,Al Harrington,PF,20.0,IND,78.0,38.0,1892.0,10.2,0.479,0.013,0.289,7.4,15.2,11.8,1.8,0.7,19.5,18.8,-1.0,2.2,-3.2,0.7,-0.2,1.0,0.143,0.656,119.0,130.0,63.0,18.0,148.0,Al Harrington,206.0,104.0,Unknown,Orange,New Jersey,Al Harrington,F,6-9,"February 17, 1980",Unknown
benoit benjamin,11866.0,Benoit Benjamin,C,30.0,NJN,61.0,57.0,1598.0,13.9,0.555,0.0,0.33,6.4,23.7,4.2,0.7,2.8,17.1,20.1,0.1,2.1,-4.2,0.0,-0.9,0.0,0.24879631551634632,0.76,94.0,38.0,23.0,64.0,125.0,Benoit Benjamin,213.0,113.0,Creighton University,Monroe,Louisiana,Benoit Benjamin,C,7-0,"November 22, 1964",Creighton University
bob lanier*,3200.0,Bob Lanier*,C,22.0,DET,82.0,23.593374650359237,2017.0,20.0,0.503,0.15860433144009717,0.339,6.181565025009618,13.708657175836867,11.6,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,3.0,2.2,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.726,62.18920998220897,146.0,39.89705245948935,24.470260133673126,73.93983201832528,Bob Lanier*,211.0,113.0,St. Bonaventure University,Buffalo,New York,,,,,
al harrington,14148.0,Al Harrington,PF,18.0,IND,21.0,0.0,160.0,6.4,0.359,0.089,0.268,15.1,13.8,5.2,1.4,0.9,14.9,22.0,-0.3,0.1,-4.3,-2.0,-0.2,0.0,0.0,0.6,20.0,5.0,4.0,2.0,11.0,Al Harrington,206.0,104.0,Unknown,Orange,New Jersey,Al Harrington,F,6-9,"February 17, 1980",Unknown
don otten,207.0,Don Otten,C,28.0,TRI,46.0,23.593374650359237,1209.7203165133815,12.479071407825398,0.472,0.15860433144009717,0.698,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,4.0,1.3,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.717,62.18920998220897,73.0,39.89705245948935,24.470260133673126,73.93983201832528,Don Otten,208.0,108.0,Bowling Green State University,Bellefontaine,Ohio,Don Otten,C,6-10,"April 18, 1921",Bowling Green State University
al harrington,20134.0,Al Harrington,PF,29.0,NYK,72.0,15.0,2195.0,16.8,0.546,0.397,0.308,4.5,16.7,8.6,1.4,0.9,10.1,26.8,2.2,1.3,0.7,-2.6,0.1,140.0,0.342,0.757,88.0,110.0,62.0,26.0,132.0,Al Harrington,206.0,104.0,Unknown,Orange,New Jersey,Al Harrington,F,6-9,"February 17, 1980",Unknown
benoit benjamin,12324.0,Benoit Benjamin,C,31.0,VAN,13.0,13.0,404.0,13.6,0.488,0.0,0.348,8.7,21.7,7.6,1.3,2.8,15.5,24.8,-0.4,0.5,-5.0,0.1,-0.3,0.0,0.24879631551634632,0.696,31.0,16.0,10.0,15.0,34.0,Benoit Benjamin,213.0,113.0,Creighton University,Monroe,Louisiana,Benoit Benjamin,C,7-0,"November 22, 1964",Creighton University
benoit benjamin,10038.0,Benoit Benjamin,C,26.0,LAC,39.0,38.0,1337.0,15.2,0.539,0.0,0.363,7.5,30.7,8.1,0.9,4.1,20.4,20.6,-0.5,2.4,-3.8,2.7,0.3,0.0,0.24879631551634632,0.728,95.0,74.0,26.0,91.0,138.0,Benoit Benjamin,213.0,113.0,Creighton University,Monroe,Louisiana,Benoit Benjamin,C,7-0,"November 22, 1964",Creighton University
mel hutchins,676.0,Mel Hutchins,C,24.0,MLH,71.0,23.593374650359237,2891.0,17.3,0.428,0.15860433144009717,0.35,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,1.4,5.5,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.654,62.18920998220897,227.0,39.89705245948935,24.470260133673126,73.93983201832528,Mel Hutchins,198.0,90.0,Brigham Young University,Sacramento,California,Mel Hutchins,F-C,6-6,"November 22, 1928",Brigham Young University
benoit benjamin,8319.0,Benoit Benjamin,C,22.0,LAC,72.0,61.0,2230.0,12.6,0.5,0.003,0.369,6.1,24.1,8.7,1.3,4.8,18.2,18.1,-1.3,2.4,-4.3,2.6,0.2,0.0,0.0,0.715,134.0,135.0,60.0,187.0,184.0,Benoit Benjamin,213.0,113.0,Creighton University,Monroe,Louisiana,Benoit Benjamin,C,7-0,"November 22, 1964",Creighton University
benoit benjamin,12323.0,Benoit Benjamin,C,31.0,TOT,83.0,71.0,1896.0,14.4,0.539,0.005,0.329,8.8,26.1,5.7,1.3,3.4,17.6,19.8,0.1,2.2,-3.8,0.5,-0.6,0.0,0.0,0.722,141.0,64.0,45.0,85.0,144.0,Benoit Benjamin,213.0,113.0,Creighton University,Monroe,Louisiana,Benoit Benjamin,C,7-0,"November 22, 1964",Creighton University
benoit benjamin,13450.0,Benoit Benjamin,C,33.0,PHI,14.0,0.0,197.0,12.5,0.581,0.0,0.732,10.4,20.6,2.5,1.1,1.5,18.1,15.1,0.2,0.2,-3.1,-1.7,-0.1,0.0,0.24879631551634632,0.633,18.0,3.0,4.0,4.0,12.0,Benoit Benjamin,213.0,113.0,Creighton University,Monroe,Louisiana,Benoit Benjamin,C,7-0,"November 22, 1964",Creighton University
don otten,442.0,Don Otten,C,29.0,TOT,67.0,23.593374650359237,1209.7203165133815,12.479071407825398,0.464,0.15860433144009717,0.643,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,3.1,1.8,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.799,62.18920998220897,62.0,39.89705245948935,24.470260133673126,73.93983201832528,Don Otten,208.0,108.0,Bowling Green State University,Bellefontaine,Ohio,Don Otten,C,6-10,"April 18, 1921",Bowling Green State University
bob lanier*,5567.0,Bob Lanier*,C,30.0,DET,53.0,23.593374650359237,1835.0,21.7,0.564,0.15860433144009717,0.386,9.0,19.3,11.4,1.2,2.1,13.6,26.7,4.0,1.9,2.5,0.1,2.1,22.215036720029588,0.24879631551634632,0.749,164.0,140.0,50.0,75.0,175.0,Bob Lanier*,211.0,113.0,St. Bonaventure University,Buffalo,New York,,,,,
bob lanier*,5924.0,Bob Lanier*,C,31.0,TOT,63.0,23.593374650359237,2131.0,20.4,0.592,0.007,0.408,7.6,19.9,12.3,1.6,2.2,13.7,21.6,5.0,2.4,2.1,0.8,2.6,1.0,0.167,0.782,152.0,184.0,74.0,89.0,162.0,Bob Lanier*,211.0,113.0,St. Bonaventure University,Buffalo,New York,,,,,
benoit benjamin,10484.0,Benoit Benjamin,C,27.0,SEA,63.0,61.0,1941.0,14.1,0.517,0.003,0.336,7.6,23.2,5.9,1.0,3.9,17.1,22.2,-0.3,2.5,-3.1,0.8,-0.2,0.0,0.0,0.687,130.0,76.0,39.0,118.0,175.0,Benoit Benjamin,213.0,113.0,Creighton University,Monroe,Louisiana,Benoit Benjamin,C,7-0,"November 22, 1964",Creighton University
bob lanier*,6284.0,Bob Lanier*,C,32.0,MIL,67.0,23.593374650359237,1753.0,19.7,0.573,0.001,0.387,8.3,17.5,14.0,1.9,2.6,14.2,21.8,3.7,3.0,1.7,1.7,2.4,1.0,1.0,0.751,128.0,179.0,73.0,81.0,139.0,Bob Lanier*,211.0,113.0,St. Bonaventure University,Buffalo,New York,,,,,
benoit benjamin,10039.0,Benoit Benjamin,C,26.0,SEA,31.0,27.0,899.0,15.1,0.544,0.0,0.403,8.1,25.9,7.1,1.6,3.9,20.8,21.8,-0.2,1.3,-2.9,1.7,0.2,0.0,0.24879631551634632,0.69,62.0,45.0,28.0,54.0,97.0,Benoit Benjamin,213.0,113.0,Creighton University,Monroe,Louisiana,Benoit Benjamin,C,7-0,"November 22, 1964",Creighton University
bob lanier*,5209.0,Bob Lanier*,C,29.0,DET,63.0,23.593374650359237,2311.0,24.8,0.58,0.15860433144009717,0.333,9.1,23.1,14.9,1.6,2.1,14.5,25.7,7.0,3.1,4.0,1.1,4.2,22.215036720029588,0.24879631551634632,0.772,197.0,216.0,82.0,93.0,225.0,Bob Lanier*,211.0,113.0,St. Bonaventure University,Buffalo,New York,,,,,
tony price,6355.0,Tony Price,SG,24.0,SDC,5.0,23.593374650359237,29.0,2.4,0.286,0.0,0.0,0.0,0.0,12.7,3.3,2.0,22.2,12.7,-0.1,0.0,-8.9,-1.7,-0.1,0.0,0.24879631551634632,0.7192786333417487,0.0,3.0,2.0,1.0,2.0,Tony Price,198.0,86.0,University of Pennsylvania,Bronx,New York,Tony Price,G,6-6,"January 5, 1957",University of Pennsylvania
malik beasley,24138.0,Malik Beasley,SG,20.0,DEN,22.0,1.0,165.0,13.7,0.536,0.384,0.137,3.4,8.0,10.2,2.1,0.0,9.4,22.0,0.1,0.1,-0.5,-3.5,-0.1,9.0,0.321,0.8,5.0,11.0,7.0,0.0,8.0,Malik Beasley,196.0,88.0,Florida State University,Atlanta,Georgia,Malik Beasley,G,6-5,"November 26, 1996",Florida State University
danny green,23092.0,Danny Green,SG,27.0,SAS,81.0,80.0,2312.0,16.5,0.596,0.619,0.172,2.7,13.9,10.3,2.2,2.8,10.5,17.5,4.0,3.9,2.8,2.2,4.1,191.0,0.418,0.874,54.0,158.0,101.0,87.0,93.0,Danny Green,206.0,100.0,"University of California, Los Angeles",Lynwood,California,Danny Green,G-F,6-6,"June 22, 1987",University of North Carolina
al harrington,22507.0,Al Harrington,PF,33.0,WAS,34.0,0.0,511.0,9.7,0.506,0.483,0.169,3.3,15.0,8.7,1.4,0.0,13.3,22.7,-0.2,0.5,-2.2,-2.4,-0.3,34.0,0.34,0.771,15.0,28.0,14.0,0.0,34.0,Al Harrington,206.0,104.0,Unknown,Orange,New Jersey,Al Harrington,F,6-9,"February 17, 1980",Unknown
cartier martin,20880.0,Cartier Martin,SF,26.0,WAS,52.0,1.0,542.0,11.7,0.524,0.544,0.22,4.1,11.8,5.2,1.7,0.8,7.4,17.6,0.5,0.3,-0.3,-2.7,-0.1,39.0,0.394,0.7,20.0,18.0,18.0,6.0,16.0,Cartier Martin,201.0,99.0,Kansas State University,Crockett,Texas,Cartier Martin,F,6-7,"November 20, 1984",Kansas State University
aaron harrison,23732.0,Aaron Harrison,SG,21.0,CHO,21.0,0.0,93.0,4.3,0.371,0.526,0.632,4.7,13.1,3.0,3.2,0.0,14.1,13.7,-0.2,0.1,-5.6,0.1,-0.1,3.0,0.3,0.417,4.0,2.0,6.0,0.0,4.0,Aaron Harrison,198.0,95.0,University of Kentucky,San Antonio,Texas,Aaron Harrison,G,6-6,"October 28, 1994",University of Kentucky
cartier martin,23229.0,Cartier Martin,SF,30.0,DET,23.0,0.0,198.0,1.6,0.34,0.623,0.0,0.0,11.4,8.0,0.8,0.4,8.6,13.0,-0.3,0.1,-5.5,-1.6,-0.3,6.0,0.182,0.7192786333417487,0.0,11.0,3.0,1.0,5.0,Cartier Martin,201.0,99.0,Kansas State University,Crockett,Texas,Cartier Martin,F,6-7,"November 20, 1984",Kansas State University
jason collier,15060.0,Jason Collier,C,23.0,HOU,23.0,0.0,222.0,7.4,0.435,0.014,0.338,6.4,12.7,4.4,0.5,0.9,11.9,19.2,-0.1,0.1,-5.2,-2.8,-0.3,0.0,0.0,0.708,12.0,6.0,2.0,3.0,11.0,Jason Collier,193.0,88.0,Florida State University,Jacksonville,Florida,Jason Collier,C,7-0,"September 8, 1977",Georgia Institute of Technology
william cunningham,13522.0,William Cunningham,C,23.0,PHI,1.0,0.0,1.0,33.3,0.49300126334664623,0.15860433144009717,0.32545504587156027,0.0,100.0,0.0,0.0,0.0,15.085098559901962,0.0,0.0,0.0,-17.3,-4.8,0.0,0.0,0.24879631551634632,0.7192786333417487,0.0,0.0,0.0,0.0,0.0,William Cunningham,211.0,113.0,Temple University,Augusta,Georgia,William Cunningham,C,6-11,"March 25, 1974",Temple University
bob boozer,1589.0,Bob Boozer,PF,23.0,CIN,79.0,23.593374650359237,1573.0,13.0,0.468,0.15860433144009717,0.41,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,1.3,0.1,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.672,62.18920998220897,109.0,39.89705245948935,24.470260133673126,73.93983201832528,Bob Boozer,203.0,97.0,Kansas State University,Omaha,Nebraska,Bob Boozer,F,6-8,"April 26, 1937",Kansas State University
luke jackson,18452.0,Luke Jackson,SF,25.0,TOT,13.0,2.0,138.0,10.3,0.511,0.395,0.209,1.7,6.9,14.9,1.9,0.6,13.0,18.1,0.0,0.1,-1.4,-1.7,0.0,5.0,0.294,0.556,2.0,13.0,5.0,1.0,7.0,Luke Jackson,206.0,108.0,University of Texas-Pan American,San Marcos,Texas,Luke Jackson,F,6-7,"November 6, 1981",University of Oregon
luke jackson,18452.0,Luke Jackson,SF,25.0,TOT,13.0,2.0,138.0,10.3,0.511,0.395,0.209,1.7,6.9,14.9,1.9,0.6,13.0,18.1,0.0,0.1,-1.4,-1.7,0.0,5.0,0.294,0.556,2.0,13.0,5.0,1.0,7.0,Luke Jackson,206.0,108.0,University of Texas-Pan American,San Marcos,Texas,Luke Jackson,F-C,6-9,"October 31, 1941",University of Texas-Pan American
bob boozer,1692.0,Bob Boozer,PF,24.0,CIN,79.0,23.593374650359237,2488.0,13.3,0.492,0.15860433144009717,0.397,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,2.8,1.1,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.707,62.18920998220897,130.0,39.89705245948935,24.470260133673126,73.93983201832528,Bob Boozer,203.0,97.0,Kansas State University,Omaha,Nebraska,Bob Boozer,F,6-8,"April 26, 1937",Kansas State University
luke jackson,2951.0,Luke Jackson,PF,28.0,PHI,37.0,23.593374650359237,583.0,11.9,0.466,0.15860433144009717,0.448,6.181565025009618,13.708657175836867,9.9,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,0.0,0.8,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.741,62.18920998220897,50.0,39.89705245948935,24.470260133673126,73.93983201832528,Luke Jackson,206.0,108.0,University of Texas-Pan American,San Marcos,Texas,Luke Jackson,F,6-7,"November 6, 1981",University of Oregon
luke jackson,2951.0,Luke Jackson,PF,28.0,PHI,37.0,23.593374650359237,583.0,11.9,0.466,0.15860433144009717,0.448,6.181565025009618,13.708657175836867,9.9,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,0.0,0.8,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.741,62.18920998220897,50.0,39.89705245948935,24.470260133673126,73.93983201832528,Luke Jackson,206.0,108.0,University of Texas-Pan American,San Marcos,Texas,Luke Jackson,F-C,6-9,"October 31, 1941",University of Texas-Pan American
jason collier,15604.0,Jason Collier,C,24.0,HOU,25.0,2.0,365.0,11.1,0.486,0.011,0.337,9.6,16.2,4.1,0.9,0.7,10.6,15.5,0.3,0.1,-3.2,-2.1,-0.3,0.0,0.0,0.75,31.0,9.0,6.0,4.0,13.0,Jason Collier,193.0,88.0,Florida State University,Jacksonville,Florida,Jason Collier,C,7-0,"September 8, 1977",Georgia Institute of Technology
darrell armstrong,16507.0,Darrell Armstrong,PG,35.0,NOH,79.0,22.0,2247.0,15.6,0.525,0.583,0.196,3.1,8.5,24.3,3.2,0.5,16.2,19.4,2.8,2.5,2.3,-0.3,2.2,135.0,0.315,0.854,63.0,311.0,133.0,16.0,155.0,Darrell Armstrong,183.0,77.0,Fayetteville State University,Gastonia,North Carolina,Darrell Armstrong,G,6-0,"June 22, 1968",Fayetteville State University
randy breuer,7236.0,Randy Breuer,C,23.0,MIL,57.0,8.0,472.0,9.2,0.426,0.0,0.26,12.0,14.1,5.0,1.2,4.7,15.1,20.8,-0.5,0.8,-5.3,0.8,-0.3,0.0,0.24879631551634632,0.696,48.0,17.0,11.0,38.0,35.0,Randy Breuer,221.0,104.0,University of Minnesota,Lake City,Minnesota,Randy Breuer,C,7-3,"October 11, 1960",University of Minnesota
darrell armstrong,18243.0,Darrell Armstrong,PG,38.0,IND,81.0,4.0,1275.0,15.1,0.547,0.568,0.247,3.0,9.3,24.8,2.9,0.4,15.4,17.4,1.7,1.5,1.7,-0.6,1.0,72.0,0.336,0.785,34.0,191.0,70.0,6.0,76.0,Darrell Armstrong,183.0,77.0,Fayetteville State University,Gastonia,North Carolina,Darrell Armstrong,G,6-0,"June 22, 1968",Fayetteville State University
luke jackson,2277.0,Luke Jackson,PF,24.0,PHI,79.0,23.593374650359237,1966.0,12.3,0.459,0.15860433144009717,0.349,6.181565025009618,13.708657175836867,8.2,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,0.4,3.2,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.738,62.18920998220897,132.0,39.89705245948935,24.470260133673126,73.93983201832528,Luke Jackson,206.0,108.0,University of Texas-Pan American,San Marcos,Texas,Luke Jackson,F,6-7,"November 6, 1981",University of Oregon
luke jackson,2277.0,Luke Jackson,PF,24.0,PHI,79.0,23.593374650359237,1966.0,12.3,0.459,0.15860433144009717,0.349,6.181565025009618,13.708657175836867,8.2,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,0.4,3.2,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.738,62.18920998220897,132.0,39.89705245948935,24.470260133673126,73.93983201832528,Luke Jackson,206.0,108.0,University of Texas-Pan American,San Marcos,Texas,Luke Jackson,F-C,6-9,"October 31, 1941",University of Texas-Pan American
luke jackson,17912.0,Luke Jackson,SF,24.0,CLE,36.0,0.0,315.0,7.9,0.482,0.424,0.388,6.0,9.1,12.4,1.9,0.5,23.8,19.2,-0.3,0.3,-3.3,-0.9,-0.2,12.0,0.333,0.788,16.0,25.0,11.0,2.0,31.0,Luke Jackson,206.0,108.0,University of Texas-Pan American,San Marcos,Texas,Luke Jackson,F,6-7,"November 6, 1981",University of Oregon
luke jackson,17912.0,Luke Jackson,SF,24.0,CLE,36.0,0.0,315.0,7.9,0.482,0.424,0.388,6.0,9.1,12.4,1.9,0.5,23.8,19.2,-0.3,0.3,-3.3,-0.9,-0.2,12.0,0.333,0.788,16.0,25.0,11.0,2.0,31.0,Luke Jackson,206.0,108.0,University of Texas-Pan American,San Marcos,Texas,Luke Jackson,F-C,6-9,"October 31, 1941",University of Texas-Pan American
luke jackson,2409.0,Luke Jackson,PF,25.0,PHI,81.0,23.593374650359237,2377.0,12.3,0.487,0.15860433144009717,0.296,6.181565025009618,13.708657175836867,5.7,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,1.6,2.6,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.759,62.18920998220897,114.0,39.89705245948935,24.470260133673126,73.93983201832528,Luke Jackson,206.0,108.0,University of Texas-Pan American,San Marcos,Texas,Luke Jackson,F,6-7,"November 6, 1981",University of Oregon
luke jackson,2409.0,Luke Jackson,PF,25.0,PHI,81.0,23.593374650359237,2377.0,12.3,0.487,0.15860433144009717,0.296,6.181565025009618,13.708657175836867,5.7,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,1.6,2.6,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.759,62.18920998220897,114.0,39.89705245948935,24.470260133673126,73.93983201832528,Luke Jackson,206.0,108.0,University of Texas-Pan American,San Marcos,Texas,Luke Jackson,F-C,6-9,"October 31, 1941",University of Texas-Pan American
randy breuer,7581.0,Randy Breuer,C,24.0,MIL,78.0,0.0,1083.0,13.4,0.554,0.0,0.401,9.5,16.7,4.9,0.9,4.5,14.5,16.4,1.1,1.9,-2.1,1.7,0.4,0.0,0.24879631551634632,0.701,92.0,40.0,21.0,82.0,63.0,Randy Breuer,221.0,104.0,University of Minnesota,Lake City,Minnesota,Randy Breuer,C,7-3,"October 11, 1960",University of Minnesota
