name_norm,ss__c0,ss_Player,ss_Pos,ss_Age,ss_Tm,ss_G,ss_GS,ss_MP,ss_PER,ss_TS%,ss_3PAr,ss_FTr,ss_ORB%,ss_DRB%,ss_AST%,ss_STL%,ss_BLK%,ss_TOV%,ss_USG%,ss_OWS,ss_DWS,ss_OBPM,ss_DBPM,ss_VORP,ss_3P,ss_3P%,ss_FT%,ss_ORB,ss_AST,ss_STL,ss_BLK,ss_TOV,pl_Player,pl_height,pl_weight,pl_collage,pl_birth_city,pl_birth_state,pd_name,pd_position,pd_height,pd_birth_date,pd_college,PC1,ss_Player_idx,ss_Pos_idx,ss_Tm_idx,ss__c0_equal_width,ss_Age_equal_width,ss_G_equal_width,ss_GS_quantile,ss_MP_quantile,ss_PER_quantile,player_cluster
amal mccaskill,16284.0,Amal McCaskill,C,29.0,ATL,11.0,0.0,70.0,7.3,0.293,0.0,0.235,11.9,23.5,10.8,2.3,1.0,9.6,13.6,-0.1,0.1,-5.1,0.6,0.0,0.0,0.24879631551634632,0.75,7.0,5.0,3.0,1.0,2.0,Amal McCaskill,211.0,106.0,Marquette University,Maywood,Illinois,Amal McCaskill,F-C,6-11,"October 28, 1973",Marquette University,-16282.246361078582,1915.0,3.0,9.0,3.0,2.0,0.0,1.0,0.0,0.0,2
james johnson,20831.0,James Johnson,SF,23.0,CHI,13.0,0.0,123.0,8.8,0.449,0.22,0.317,5.9,16.7,18.1,3.5,5.6,27.8,24.2,-0.4,0.3,-6.3,5.1,0.0,2.0,0.222,0.462,6.0,14.0,8.0,9.0,18.0,James Johnson,206.0,113.0,Wake Forest University,Cheyenne,Wyoming,James Johnson,F,6-9,"February 20, 1987",Wake Forest University,-20828.33483066256,888.0,2.0,8.0,4.0,1.0,0.0,1.0,0.0,0.0,1
al harrington,18965.0,Al Harrington,C,27.0,GSW,81.0,59.0,2190.0,15.6,0.547,0.442,0.206,5.0,16.9,8.9,1.6,0.5,8.2,21.1,3.7,1.7,1.6,-1.6,1.1,153.0,0.375,0.774,107.0,132.0,74.0,16.0,90.0,Al Harrington,206.0,104.0,Unknown,Orange,New Jersey,Al Harrington,F,6-9,"February 17, 1980",Unknown,-18939.339482481035,44.0,3.0,10.0,3.0,2.0,4.0,4.0,4.0,3.0,1
don otten,575.0,Don Otten,C,30.0,FTW,7.0,23.593374650359237,63.0,15.0,0.444,0.15860433144009717,0.8,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,0.1,0.1,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.875,62.18920998220897,5.0,39.89705245948935,24.470260133673126,73.93983201832528,Don Otten,208.0,108.0,Bowling Green State University,Bellefontaine,Ohio,Don Otten,C,6-10,"April 18, 1921",Bowling Green State University,-574.158751299256,708.0,3.0,42.0,0.0,3.0,0.0,3.0,0.0,3.0,0
danny green,23704.0,Danny Green,SG,28.0,SAS,79.0,79.0,2062.0,10.5,0.492,0.622,0.082,2.7,13.6,9.3,2.0,2.4,11.4,14.6,0.2,4.1,-0.2,3.0,2.5,116.0,0.332,0.739,48.0,141.0,79.0,64.0,75.0,Danny Green,206.0,100.0,"University of California, Los Angeles",Lynwood,California,Danny Green,G-F,6-6,"June 22, 1987",University of North Carolina,-23679.47249505694,1173.0,1.0,14.0,4.0,2.0,4.0,4.0,4.0,1.0,1
danny green,21873.0,Danny Green,SG,25.0,SAS,80.0,80.0,2201.0,14.1,0.6,0.623,0.119,2.0,10.3,9.5,2.1,1.8,11.9,16.6,2.6,3.2,2.0,1.3,2.9,177.0,0.429,0.848,36.0,141.0,92.0,54.0,94.0,Danny Green,206.0,100.0,"University of California, Los Angeles",Lynwood,California,Danny Green,G-F,6-6,"June 22, 1987",University of North Carolina,-21847.09072523573,1173.0,1.0,14.0,4.0,1.0,4.0,4.0,4.0,3.0,1
william cunningham,14065.0,William Cunningham,C,24.0,TOR,1.0,0.0,1.0,0.0,0.49300126334664623,0.15860433144009717,0.32545504587156027,0.0,0.0,0.0,0.0,0.0,15.085098559901962,0.0,0.0,0.0,-6.2,-1.3,0.0,0.0,0.24879631551634632,0.7192786333417487,0.0,0.0,0.0,0.0,0.0,William Cunningham,211.0,113.0,Temple University,Augusta,Georgia,William Cunningham,C,6-11,"March 25, 1974",Temple University,-14064.174766543436,1684.0,3.0,26.0,2.0,1.0,0.0,1.0,0.0,0.0,2
manny harris,24313.0,Manny Harris,SG,27.0,DAL,4.0,0.0,25.0,-2.2,0.239,0.133,0.267,13.3,29.3,12.7,0.0,0.0,10.7,35.4,-0.2,0.0,-15.1,-3.8,-0.1,0.0,0.0,0.5,3.0,2.0,0.0,0.0,2.0,Manny Harris,196.0,83.0,University of Michigan,Detroit,Michigan,Manny Harris,G,6-5,"September 21, 1989",University of Michigan,-24311.229152289416,2096.0,1.0,17.0,4.0,2.0,0.0,1.0,0.0,0.0,1
rod higgins,11078.0,Rod Higgins,SF,33.0,SAC,69.0,4.0,1425.0,12.5,0.52,0.275,0.313,5.0,10.3,11.8,1.7,1.3,10.3,17.5,1.5,1.0,-0.3,-0.6,0.4,43.0,0.323,0.861,66.0,119.0,51.0,29.0,63.0,Rod Higgins,201.0,90.0,"California State University, Fresno",Monroe,Louisiana,Rod Higgins,F,6-7,"January 31, 1960","California State University, Fresno",-11061.30318935016,168.0,2.0,22.0,2.0,3.0,4.0,1.0,3.0,2.0,3
rod higgins,7679.0,Rod Higgins,SF,25.0,CHI,68.0,5.0,942.0,10.2,0.497,0.137,0.333,6.9,11.0,10.4,1.1,0.8,13.7,15.9,0.4,0.5,-1.4,-0.9,-0.1,10.0,0.27,0.667,55.0,73.0,21.0,13.0,49.0,Rod Higgins,201.0,90.0,"California State University, Fresno",Monroe,Louisiana,Rod Higgins,F,6-7,"January 31, 1960","California State University, Fresno",-7667.9362544003025,168.0,2.0,8.0,1.0,1.0,3.0,1.0,2.0,1.0,3
adam keefe,11108.0,Adam Keefe,PF,22.0,ATL,82.0,6.0,1549.0,13.6,0.564,0.003,0.63,11.8,19.5,7.0,1.8,0.7,17.2,15.5,1.9,1.4,-1.2,0.1,0.4,0.0,0.0,0.7,171.0,80.0,57.0,16.0,100.0,Adam Keefe,206.0,104.0,Stanford University,Irvine,California,Adam Keefe,F,6-9,"February 22, 1970",Stanford University,-11089.790159595817,971.0,0.0,9.0,2.0,1.0,4.0,1.0,3.0,3.0,3
kenny sears,1109.0,Kenny Sears,PF,22.0,NYK,70.0,23.593374650359237,2069.0,17.8,0.515,0.15860433144009717,0.445,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,4.8,1.4,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.796,62.18920998220897,114.0,39.89705245948935,24.470260133673126,73.93983201832528,Kenny Sears,206.0,89.0,Santa Clara University,Watsonville,California,Kenny Sears,F,6-9,"August 17, 1933",Santa Clara University,-1085.8347789923466,1070.0,0.0,1.0,0.0,1.0,4.0,3.0,4.0,4.0,0
david pope,7796.0,David Pope,SF,22.0,KCK,22.0,0.0,129.0,2.1,0.349,0.019,0.245,8.0,7.9,4.9,1.1,1.3,10.7,20.1,-0.3,0.0,-6.7,-2.8,-0.2,0.0,0.0,0.538,9.0,5.0,3.0,3.0,7.0,David Pope,201.0,99.0,Norfolk State University,Newport News,Virginia,David Pope,F,6-7,"April 15, 1962",Norfolk State University,-7794.120357934665,2629.0,2.0,38.0,1.0,1.0,1.0,1.0,0.0,0.0,3
andy johnson,1399.0,Andy Johnson,SF,26.0,PHW,67.0,23.593374650359237,1158.0,10.5,0.421,0.15860433144009717,0.41,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,0.0,1.3,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.602,62.18920998220897,90.0,39.89705245948935,24.470260133673126,73.93983201832528,Andy Johnson,196.0,97.0,University of Portland,Los Angeles,California,Andy Johnson,F-G,6-5,"November 8, 1932",University of Portland,-1385.8883907874424,1918.0,2.0,35.0,0.0,2.0,3.0,3.0,2.0,1.0,0
ryan hollins,23756.0,Ryan Hollins,C,31.0,TOT,37.0,12.0,460.0,12.3,0.636,0.0,0.532,11.2,13.2,3.3,0.7,4.2,19.8,11.8,0.6,0.3,-2.0,0.2,0.0,0.0,0.24879631551634632,0.619,47.0,10.0,6.0,21.0,24.0,Ryan Hollins,213.0,108.0,"University of California, Los Angeles",Pasadena,California,Ryan Hollins,C,7-0,"October 10, 1984","University of California, Los Angeles",-23749.37094062903,226.0,3.0,0.0,4.0,3.0,2.0,2.0,1.0,2.0,1
eric bledsoe,21178.0,Eric Bledsoe,PG,22.0,LAC,40.0,1.0,464.0,11.2,0.454,0.238,0.349,5.6,11.1,21.6,3.6,2.5,24.4,19.1,-0.4,0.6,-3.0,2.0,0.1,6.0,0.2,0.636,22.0,66.0,31.0,14.0,47.0,Eric Bledsoe,185.0,86.0,University of Kentucky,Birmingham,Alabama,Eric Bledsoe,G,6-1,"December 9, 1989",University of Kentucky,-21171.38573128154,1355.0,4.0,20.0,4.0,1.0,2.0,1.0,1.0,1.0,1
marcus camby,14546.0,Marcus Camby,C,25.0,NYK,59.0,11.0,1548.0,19.0,0.529,0.004,0.469,13.7,21.3,5.4,1.5,5.7,11.2,19.6,2.6,3.2,-0.4,3.4,2.0,1.0,0.5,0.67,174.0,49.0,43.0,116.0,72.0,Marcus Camby,211.0,99.0,University of Massachusetts Amherst,Hartford,Connecticut,Marcus Camby,C-F,6-11,"March 22, 1974",University of Massachusetts Amherst,-14527.647754202222,49.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,4.0,2
al thornton,20439.0,Al Thornton,SF,26.0,TOT,75.0,46.0,2079.0,11.8,0.523,0.046,0.312,6.4,10.0,7.1,1.1,1.3,11.7,19.0,1.2,1.0,-1.9,-0.8,-0.4,11.0,0.355,0.725,116.0,90.0,45.0,35.0,102.0,Al Thornton,203.0,99.0,Florida State University,Perry,Georgia,Al Thornton,F,6-8,"December 7, 1983",Florida State University,-20414.408276910595,1134.0,2.0,0.0,4.0,2.0,4.0,4.0,4.0,2.0,1
jeff wilkins,6798.0,Jeff Wilkins,C,26.0,UTA,82.0,62.0,2274.0,10.5,0.481,0.004,0.245,5.6,23.6,5.0,0.7,1.8,14.4,16.4,-0.5,1.5,-4.0,-0.5,-1.5,0.0,0.0,0.778,120.0,90.0,32.0,77.0,134.0,Jeff Wilkins,211.0,104.0,Illinois State University,Chicago,Illinois,Jeff Wilkins,C-F,6-11,"March 9, 1955",Illinois State University,-6772.075207605499,1212.0,3.0,21.0,1.0,2.0,4.0,4.0,4.0,1.0,3
gary alexander,11364.0,Gary Alexander,PF,24.0,MIA,4.0,0.0,12.0,0.8,0.347,0.0,1.0,9.4,19.0,11.5,0.0,0.0,25.8,13.9,0.0,0.0,-6.9,-1.4,0.0,0.0,0.24879631551634632,0.0,1.0,1.0,0.0,0.0,1.0,Gary Alexander,201.0,108.0,University of South Florida,Jacksonville,Florida,Gary Alexander,F,6-7,"November 1, 1969",University of South Florida,-11363.216438031732,2287.0,0.0,23.0,2.0,1.0,0.0,1.0,0.0,0.0,3
gary alexander,11363.0,Gary Alexander,PF,24.0,TOT,11.0,0.0,55.0,8.6,0.529,0.0,0.643,14.7,16.8,5.4,2.9,0.0,30.8,21.0,-0.1,0.1,-5.1,-0.7,-0.1,0.0,0.24879631551634632,0.333,7.0,2.0,3.0,0.0,8.0,Gary Alexander,201.0,108.0,University of South Florida,Jacksonville,Florida,Gary Alexander,F,6-7,"November 1, 1969",University of South Florida,-11361.720114104919,2287.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3
calvin murphy*,3473.0,Calvin Murphy*,PG,23.0,HOU,82.0,23.593374650359237,2538.0,18.1,0.522,0.15860433144009717,0.312,6.181565025009618,13.708657175836867,22.6,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,4.8,3.5,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.89,62.18920998220897,393.0,39.89705245948935,24.470260133673126,73.93983201832528,Calvin Murphy*,175.0,74.0,Niagara University,Norwalk,Connecticut,,,,,,-3444.0821511039326,691.0,4.0,12.0,0.0,1.0,4.0,3.0,4.0,4.0,0
michael curry,16613.0,Michael Curry,SF,35.0,TOR,70.0,15.0,1229.0,3.6,0.46,0.077,0.296,2.0,6.1,7.2,1.0,0.3,17.8,10.6,-0.6,0.9,-5.5,-0.1,-1.1,3.0,0.2,0.845,22.0,53.0,23.0,5.0,48.0,Michael Curry,196.0,95.0,Georgia Southern University,Anniston,Alabama,Michael Curry,F-G,6-5,"August 22, 1968",Georgia Southern University,-16598.26915253807,489.0,2.0,26.0,3.0,4.0,4.0,2.0,2.0,0.0,2
adonal foyle,15126.0,Adonal Foyle,C,25.0,GSW,58.0,37.0,1457.0,12.4,0.422,0.0,0.181,10.5,19.7,5.2,1.1,7.6,16.3,14.0,-0.8,1.5,-4.8,3.2,0.2,0.0,0.24879631551634632,0.441,156.0,48.0,31.0,156.0,79.0,Adonal Foyle,208.0,113.0,Colgate University,Canouan,Saint Vincent and the Grenadines,Adonal Foyle,C,6-10,"March 9, 1975",Colgate University,-15108.623732241203,304.0,3.0,10.0,3.0,1.0,3.0,4.0,3.0,2.0,2
dave popson,10318.0,Dave Popson,PF,26.0,BOS,19.0,0.0,64.0,11.6,0.481,0.0,0.313,13.2,11.1,4.3,0.8,1.8,14.2,27.9,0.0,0.1,-4.1,-4.2,-0.1,0.0,0.24879631551634632,0.9,7.0,2.0,1.0,2.0,6.0,Dave Popson,208.0,99.0,University of North Carolina,Kingston,Pennsylvania,Dave Popson,F-C,6-10,"May 17, 1964",University of North Carolina,-10316.686445014513,1732.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,3
howie jolliff,1631.0,Howie Jolliff,PF,22.0,LAL,46.0,23.593374650359237,352.0,8.2,0.341,0.15860433144009717,0.163,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,-0.8,0.5,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.478,62.18920998220897,16.0,39.89705245948935,24.470260133673126,73.93983201832528,Howie Jolliff,203.0,97.0,Unknown,Unknown,Unknown,Howie Jolliff,F-C,6-7,"July 20, 1938",Ohio University,-1626.8708019642293,2308.0,0.0,7.0,0.0,1.0,2.0,3.0,1.0,0.0,0
greg ballard,6459.0,Greg Ballard,SF,27.0,WSB,79.0,79.0,2946.0,17.9,0.519,0.017,0.217,5.1,18.1,13.1,2.2,0.4,7.7,22.0,4.1,5.3,1.3,2.2,4.1,9.0,0.409,0.83,136.0,250.0,137.0,22.0,119.0,Greg Ballard,201.0,97.0,University of Oregon,Los Angeles,California,Greg Ballard,F,6-7,"January 29, 1955",University of Oregon,-6425.408874442917,722.0,2.0,27.0,1.0,2.0,4.0,4.0,4.0,4.0,3
greg ballard,6094.0,Greg Ballard,SF,26.0,WSB,82.0,23.593374650359237,2610.0,16.7,0.5,0.027,0.165,6.7,16.8,10.9,2.1,0.8,8.4,21.4,2.8,4.1,0.6,2.0,3.1,7.0,0.219,0.847,167.0,195.0,118.0,39.0,117.0,Greg Ballard,201.0,97.0,University of Oregon,Los Angeles,California,Greg Ballard,F,6-7,"January 29, 1955",University of Oregon,-6064.193476946757,722.0,2.0,27.0,1.0,2.0,4.0,3.0,4.0,4.0,0
joel freeland,21848.0,Joel Freeland,PF,25.0,POR,51.0,1.0,477.0,9.3,0.435,0.0,0.19,9.6,19.5,4.3,1.4,1.7,11.0,16.6,-0.2,0.4,-5.3,-0.9,-0.5,0.0,0.24879631551634632,0.667,40.0,13.0,13.0,11.0,19.0,Joel Freeland,208.0,113.0,Unknown,Farnham,United Kingdom,Joel Freeland,F-C,6-10,"February 7, 1987",Unknown,-21841.312960258892,2347.0,0.0,13.0,4.0,1.0,2.0,1.0,1.0,1.0,1
clarence weatherspoon,12787.0,Clarence Weatherspoon,SF,25.0,PHI,78.0,75.0,3096.0,17.1,0.541,0.002,0.42,8.6,19.8,9.3,1.9,2.6,13.0,19.9,3.4,2.4,-0.7,1.2,2.0,0.0,0.0,0.746,237.0,158.0,112.0,108.0,179.0,Clarence Weatherspoon,198.0,108.0,University of Southern Mississippi,Crawford,Mississippi,Clarence Weatherspoon,F,6-6,"September 8, 1970",University of Southern Mississippi,-12751.283102436853,139.0,2.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,2
joe graboski,1268.0,Joe Graboski,PF,28.0,PHW,72.0,23.593374650359237,2077.0,12.1,0.395,0.15860433144009717,0.298,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,-1.4,2.3,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.749,62.18920998220897,125.0,39.89705245948935,24.470260133673126,73.93983201832528,Joe Graboski,201.0,88.0,Unknown,Unknown,Unknown,Joe Graboski,F-C,6-7,"January 15, 1930",Unknown,-1244.7180707796144,590.0,0.0,35.0,0.0,2.0,4.0,3.0,4.0,2.0,0
bryant reeves,15381.0,Bryant Reeves,C,27.0,VAN,75.0,48.0,1832.0,12.8,0.506,0.007,0.257,8.3,19.8,7.4,1.2,2.0,12.8,17.6,1.2,1.7,-2.5,0.5,0.0,1.0,0.25,0.796,132.0,80.0,43.0,54.0,90.0,Bryant Reeves,213.0,124.0,Oklahoma State University,Fort Smith,Arkansas,Bryant Reeves,C,7-0,"June 8, 1973",Oklahoma State University,-15359.46385695015,1504.0,3.0,44.0,3.0,2.0,4.0,4.0,3.0,2.0,2
clarence weatherspoon,17033.0,Clarence Weatherspoon,PF,33.0,NYK,15.0,1.0,216.0,13.5,0.558,0.0,0.475,7.6,19.0,9.4,2.0,0.7,15.7,12.3,0.3,0.3,-1.3,1.2,0.1,0.0,0.24879631551634632,0.947,14.0,13.0,8.0,2.0,9.0,Clarence Weatherspoon,198.0,108.0,University of Southern Mississippi,Crawford,Mississippi,Clarence Weatherspoon,F,6-6,"September 8, 1970",University of Southern Mississippi,-17029.55451485242,139.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,3.0,2
michael wilson,8666.0,Michael Wilson,PG,27.0,ATL,2.0,0.0,2.0,-49.6,0.0,0.0,0.0,0.0,0.0,57.4,0.0,0.0,33.3,61.7,-0.1,0.0,-39.6,-10.6,0.0,0.0,0.24879631551634632,0.7192786333417487,0.0,1.0,0.0,0.0,1.0,Michael Wilson,193.0,79.0,Marquette University,Memphis,Tennessee,Michael Wilson,G,6-4,"September 15, 1959",Marquette University,-8665.484047082049,1422.0,4.0,9.0,1.0,2.0,0.0,1.0,0.0,0.0,3
clarence weatherspoon,17032.0,Clarence Weatherspoon,PF,33.0,TOT,52.0,1.0,868.0,14.6,0.538,0.005,0.341,10.5,16.9,5.9,1.9,1.3,12.6,15.2,1.2,1.3,-1.5,0.8,0.3,0.0,0.0,0.736,74.0,30.0,30.0,15.0,35.0,Clarence Weatherspoon,198.0,108.0,University of Southern Mississippi,Crawford,Mississippi,Clarence Weatherspoon,F,6-6,"September 8, 1970",University of Southern Mississippi,-17021.213152647644,139.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,3.0,2
troy murphy,20918.0,Troy Murphy,PF,30.0,BOS,17.0,0.0,178.0,10.1,0.503,0.263,0.342,8.1,17.6,5.0,2.4,0.4,13.8,13.7,0.1,0.4,-2.7,1.6,0.0,1.0,0.1,0.846,11.0,6.0,8.0,1.0,7.0,Troy Murphy,211.0,111.0,University of Notre Dame,Morristown,New Jersey,Troy Murphy,F-C,6-11,"May 2, 1980",University of Notre Dame,-20914.74511559046,235.0,0.0,2.0,4.0,3.0,0.0,1.0,0.0,1.0,1
nemanja nedovic,22672.0,Nemanja Nedovic,SG,22.0,GSW,24.0,0.0,142.0,-1.7,0.306,0.462,0.205,2.3,9.1,12.1,0.0,0.5,23.4,17.2,-0.5,0.1,-8.9,-1.6,-0.3,3.0,0.167,0.875,3.0,13.0,0.0,1.0,13.0,Nemanja Nedovic,190.0,87.0,Unknown,Nova Varos,Serbia,Nemanja Nedovic,G,6-3,"June 16, 1991",Unknown,-22669.008911634643,3664.0,1.0,10.0,4.0,1.0,1.0,1.0,0.0,0.0,1
rick mahorn,8892.0,Rick Mahorn,PF,29.0,DET,67.0,64.0,1963.0,13.7,0.622,0.004,0.451,9.3,22.6,4.2,1.1,1.3,17.1,14.7,2.8,3.2,-0.3,1.4,1.5,1.0,0.5,0.756,159.0,60.0,43.0,42.0,119.0,Rick Mahorn,208.0,108.0,Hampton University,Hartford,Connecticut,Rick Mahorn,C-F,6-10,"September 21, 1958",Hampton University,-8869.393864103027,220.0,0.0,3.0,1.0,2.0,3.0,4.0,3.0,3.0,3
ray epps,5478.0,Ray Epps,SF,22.0,GSW,13.0,23.593374650359237,72.0,7.9,0.49,0.15860433144009717,0.348,0.0,7.5,3.6,0.7,0.0,7.0,16.0,0.0,0.0,-4.2,-2.7,-0.1,22.215036720029588,0.24879631551634632,0.75,0.0,2.0,1.0,0.0,2.0,Ray Epps,198.0,88.0,Norfolk State University,Amelia,Virginia,Ray Epps,F,6-6,"August 20, 1956",Norfolk State University,-5476.932325544843,3726.0,2.0,10.0,1.0,1.0,0.0,3.0,0.0,0.0,0
joel kramer,5559.0,Joel Kramer,PF,23.0,PHO,82.0,23.593374650359237,1401.0,11.3,0.544,0.15860433144009717,0.476,10.8,15.8,7.8,1.4,0.9,18.0,15.0,1.4,1.6,-0.9,0.3,0.5,22.215036720029588,0.24879631551634632,0.71,134.0,92.0,45.0,23.0,98.0,Joel Kramer,201.0,92.0,San Diego State University,San Diego,California,Joel Kramer,F-C,6-7,"November 30, 1955",San Diego State University,-5542.817119201436,1795.0,0.0,11.0,1.0,1.0,4.0,3.0,3.0,1.0,0
fred hetzel,2742.0,Fred Hetzel,SF,26.0,MIL,53.0,23.593374650359237,1591.0,15.7,0.484,0.15860433144009717,0.332,6.181565025009618,13.708657175836867,7.5,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,1.5,1.2,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.837,62.18920998220897,83.0,39.89705245948935,24.470260133673126,73.93983201832528,Fred Hetzel,203.0,99.0,Davidson College,Washington,District of Columbia,Fred Hetzel,F-C,6-8,"July 21, 1942",Davidson College,-2724.0518186058293,1196.0,2.0,5.0,0.0,2.0,3.0,3.0,3.0,3.0,0
john tresvant,3277.0,John Tresvant,PF,31.0,TOT,75.0,23.593374650359237,1517.0,12.3,0.523,0.15860433144009717,0.47,6.181565025009618,13.708657175836867,7.2,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,1.8,1.9,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.712,62.18920998220897,86.0,39.89705245948935,24.470260133673126,73.93983201832528,John Tresvant,201.0,97.0,Seattle University,Unknown,Unknown,John Tresvant,F-C,6-7,"November 6, 1939",Seattle University,-3259.818515630822,70.0,0.0,0.0,0.0,3.0,4.0,3.0,3.0,2.0,0
john tresvant,2632.0,John Tresvant,PF,28.0,TOT,85.0,23.593374650359237,2473.0,13.2,0.503,0.15860433144009717,0.443,6.181565025009618,13.708657175836867,8.3,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,2.4,1.7,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.651,62.18920998220897,160.0,39.89705245948935,24.470260133673126,73.93983201832528,John Tresvant,201.0,97.0,Seattle University,Unknown,Unknown,John Tresvant,F-C,6-7,"November 6, 1939",Seattle University,-2604.2157888296806,70.0,0.0,0.0,0.0,2.0,4.0,3.0,4.0,2.0,0
steve kuberski,4236.0,Steve Kuberski,SF,27.0,MIL,59.0,23.593374650359237,517.0,11.6,0.457,0.15860433144009717,0.352,10.9,13.9,9.0,1.0,0.3,15.085098559901962,18.906491853360468,0.2,0.4,-2.4,-1.4,-0.2,22.215036720029588,0.24879631551634632,0.786,52.0,35.0,11.0,3.0,73.93983201832528,Steve Kuberski,203.0,97.0,Bradley University,Moline,Illinois,Steve Kuberski,F-C,6-8,"November 6, 1947",Bradley University,-4229.888571639055,808.0,2.0,5.0,0.0,2.0,3.0,3.0,1.0,2.0,0
steve kuberski,4512.0,Steve Kuberski,C,28.0,BOS,60.0,23.593374650359237,882.0,12.4,0.527,0.15860433144009717,0.277,9.6,16.5,6.7,0.6,0.6,15.085098559901962,18.906491853360468,1.2,1.0,-1.6,-0.6,-0.1,22.215036720029588,0.24879631551634632,0.895,86.0,44.0,11.0,11.0,73.93983201832528,Steve Kuberski,203.0,97.0,Bradley University,Moline,Illinois,Steve Kuberski,F-C,6-8,"November 6, 1947",Bradley University,-4501.794500231891,808.0,3.0,2.0,0.0,2.0,3.0,3.0,2.0,2.0,0
javale mcgee,23244.0,JaVale McGee,C,27.0,TOT,23.0,0.0,256.0,14.4,0.567,0.0,0.418,7.3,18.9,2.0,0.4,6.1,16.1,18.9,0.1,0.3,-5.3,-0.3,-0.2,0.0,0.24879631551634632,0.667,18.0,3.0,2.0,20.0,18.0,JaVale McGee,213.0,122.0,"University of Nevada, Reno",Flint,Michigan,JaVale McGee,C,7-0,"January 19, 1988","University of Nevada, Reno",-23239.719672327035,461.0,3.0,0.0,4.0,2.0,1.0,1.0,1.0,3.0,1
ramon sessions,21556.0,Ramon Sessions,PG,25.0,TOT,64.0,23.0,1707.0,16.7,0.535,0.172,0.439,2.2,12.0,35.5,1.4,0.1,17.3,21.6,2.9,0.8,1.0,-2.0,0.4,43.0,0.443,0.782,33.0,354.0,44.0,3.0,141.0,Ramon Sessions,190.0,86.0,"University of Nevada, Reno",Myrtle Beach,South Carolina,Ramon Sessions,G,6-3,"April 11, 1986","University of Nevada, Reno",-21535.12115512003,217.0,4.0,0.0,4.0,1.0,3.0,2.0,3.0,4.0,1
javale mcgee,20890.0,JaVale McGee,C,23.0,WAS,79.0,75.0,2193.0,17.4,0.566,0.005,0.381,11.2,22.2,2.8,1.0,6.7,12.6,16.3,2.7,2.5,-1.8,1.7,1.0,0.0,0.0,0.583,223.0,38.0,41.0,193.0,102.0,JaVale McGee,213.0,122.0,"University of Nevada, Reno",Flint,Michigan,JaVale McGee,C,7-0,"January 19, 1988","University of Nevada, Reno",-20864.029693936205,461.0,3.0,28.0,4.0,1.0,4.0,4.0,4.0,4.0,1
josh howard,18434.0,Josh Howard,SF,26.0,DAL,70.0,69.0,2455.0,20.0,0.548,0.222,0.273,6.5,16.6,9.2,1.8,1.7,9.3,25.2,5.0,3.8,2.1,0.7,3.0,92.0,0.385,0.827,130.0,127.0,82.0,56.0,123.0,Josh Howard,201.0,95.0,Wake Forest University,Winston-Salem,North Carolina,Josh Howard,F-G,6-7,"April 28, 1980",Wake Forest University,-18405.328239806415,598.0,2.0,17.0,3.0,2.0,4.0,4.0,4.0,4.0,2
travis best,14505.0,Travis Best,PG,27.0,IND,82.0,0.0,1691.0,16.5,0.569,0.166,0.339,1.1,8.1,26.3,2.3,0.2,14.2,20.2,3.5,1.6,1.6,-1.0,1.1,35.0,0.376,0.821,16.0,272.0,76.0,5.0,107.0,Travis Best,180.0,82.0,Georgia Institute of Technology,Springfield,Massachusetts,Travis Best,G,5-11,"July 12, 1972",Georgia Institute of Technology,-14484.902580253636,668.0,4.0,16.0,2.0,2.0,4.0,1.0,3.0,4.0,2
