name_norm,ss__c0,ss_Player,ss_Pos,ss_Age,ss_Tm,ss_G,ss_GS,ss_MP,ss_PER,ss_TS%,ss_3PAr,ss_FTr,ss_ORB%,ss_DRB%,ss_AST%,ss_STL%,ss_BLK%,ss_TOV%,ss_USG%,ss_OWS,ss_DWS,ss_OBPM,ss_DBPM,ss_VORP,ss_3P,ss_3P%,ss_FT%,ss_ORB,ss_AST,ss_STL,ss_BLK,ss_TOV,pl_Player,pl_height,pl_weight,pl_collage,pl_birth_city,pl_birth_state,pd_name,pd_position,pd_height,pd_birth_date,pd_college,PC1,ss_Player_idx,ss_Pos_idx,ss_Tm_idx,ss__c0_equal_width,ss_Age_equal_width,ss_G_equal_width,ss_GS_quantile,ss_MP_quantile,ss_PER_quantile,player_cluster
etan thomas,18677.0,Etan Thomas,C,28.0,WAS,65.0,32.0,1246.0,15.6,0.585,0.0,0.498,12.2,22.9,3.6,0.9,5.5,17.4,14.4,1.5,1.2,-2.0,0.9,0.3,0.0,0.24879631551634632,0.558,136.0,29.0,22.0,89.0,71.0,Etan Thomas,206.0,116.0,Syracuse University,Harlem,New York,Etan Thomas,F,6-9,"April 1, 1978",Syracuse University,-18661.80588690443,1026.0,3.0,28.0,3.0,2.0,3.0,3.0,2.0,3.0,1
etan thomas,21044.0,Etan Thomas,C,32.0,ATL,13.0,0.0,82.0,15.1,0.58,0.0,0.714,8.9,24.8,3.9,0.7,3.7,15.3,18.9,0.1,0.1,-4.3,-0.7,-0.1,0.0,0.24879631551634632,0.8,6.0,2.0,1.0,4.0,5.0,Etan Thomas,206.0,116.0,Syracuse University,Harlem,New York,Etan Thomas,F,6-9,"April 1, 1978",Syracuse University,-21041.814363102407,1026.0,3.0,9.0,4.0,3.0,0.0,1.0,0.0,3.0,1
c.j. watson,20469.0,C.J. Watson,PG,25.0,GSW,65.0,15.0,1788.0,13.8,0.555,0.275,0.314,1.7,8.9,14.3,2.8,0.3,10.3,16.0,2.2,0.9,0.2,-0.7,0.7,45.0,0.31,0.771,28.0,180.0,103.0,8.0,69.0,C.J. Watson,211.0,117.0,Unknown,Unknown,Unknown,C.J. Watson,G,6-2,"April 17, 1984",University of Tennessee,-20447.640275800477,838.0,4.0,10.0,4.0,1.0,3.0,2.0,3.0,3.0,1
antonio davis,12956.0,Antonio Davis,PF,28.0,IND,82.0,28.0,2335.0,13.8,0.536,0.022,0.565,9.9,20.5,4.8,1.0,2.9,15.0,18.6,1.7,3.4,-1.9,1.3,0.8,1.0,0.071,0.666,190.0,65.0,42.0,84.0,141.0,Antonio Davis,206.0,97.0,University of Texas at El Paso,Oakland,California,Antonio Davis,F-C,6-9,"October 31, 1968",University of Texas at El Paso,-12928.94860759964,127.0,0.0,16.0,2.0,2.0,4.0,3.0,4.0,3.0,2
antonio davis,17781.0,Antonio Davis,PF,37.0,NYK,36.0,31.0,749.0,8.9,0.487,0.006,0.384,12.0,15.9,3.0,1.4,1.0,18.8,13.8,0.0,0.3,-2.6,-0.7,-0.2,0.0,0.0,0.738,75.0,14.0,20.0,9.0,43.0,Antonio Davis,206.0,97.0,University of Texas at El Paso,Oakland,California,Antonio Davis,F-C,6-9,"October 31, 1968",University of Texas at El Paso,-17771.49387191622,127.0,0.0,1.0,3.0,4.0,2.0,3.0,2.0,0.0,2
andre moore,8924.0,Andre Moore,PF,23.0,DEN,7.0,0.0,34.0,15.5,0.375,0.0,0.25,14.9,22.5,19.7,2.7,1.7,10.1,34.0,-0.1,0.1,-3.4,0.3,0.0,0.0,0.24879631551634632,1.0,5.0,5.0,2.0,1.0,3.0,Andre Moore,206.0,97.0,Loyola University of Chicago,Chicago,Illinois,Andre Moore,F,6-9,"July 2, 1964",Loyola University of Chicago,-8923.111122440228,2202.0,0.0,15.0,1.0,1.0,0.0,1.0,0.0,3.0,3
monty williams,14454.0,Monty Williams,SF,27.0,DEN,1.0,0.0,6.0,-7.6,0.174,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,0.0,0.0,-14.0,-7.6,0.0,0.0,0.24879631551634632,0.5,0.0,0.0,0.0,0.0,0.0,Monty Williams,203.0,102.0,University of Notre Dame,Fredericksburg,Virginia,Monty Williams,F,6-8,"October 8, 1971",University of Notre Dame,-14453.08945524385,776.0,2.0,15.0,2.0,2.0,0.0,1.0,0.0,0.0,2
hakim warrick,21639.0,Hakim Warrick,PF,29.0,PHO,35.0,0.0,503.0,13.1,0.503,0.056,0.55,7.0,13.5,9.3,0.8,0.4,13.9,23.4,0.3,0.2,-2.4,-1.8,-0.3,1.0,0.1,0.768,31.0,30.0,8.0,3.0,36.0,Hakim Warrick,206.0,99.0,Syracuse University,Philadelphia,Pennsylvania,Hakim Warrick,F,6-9,"July 8, 1982",Syracuse University,-21632.00931338571,577.0,0.0,11.0,4.0,2.0,2.0,1.0,1.0,2.0,1
jimmer fredette,21302.0,Jimmer Fredette,PG,22.0,SAC,61.0,7.0,1135.0,10.8,0.495,0.484,0.108,1.6,5.7,15.1,1.3,0.2,12.5,20.4,0.5,-0.2,-0.4,-4.0,-0.7,78.0,0.361,0.833,17.0,108.0,30.0,3.0,67.0,Jimmer Fredette,188.0,88.0,Brigham Young University,Glens Falls,New York,Jimmer Fredette,G,6-2,"February 25, 1989",Brigham Young University,-21287.958235876078,1056.0,4.0,22.0,4.0,1.0,3.0,1.0,2.0,1.0,1
josh powell,20965.0,Josh Powell,PF,28.0,ATL,54.0,0.0,653.0,8.0,0.492,0.005,0.216,9.1,15.8,5.5,0.4,0.6,18.9,20.4,-0.7,0.5,-5.8,-2.3,-1.0,0.0,0.0,0.8,49.0,22.0,5.0,5.0,53.0,Josh Powell,206.0,102.0,North Carolina State University,Charleston,South Carolina,Josh Powell,F,6-9,"January 25, 1983",North Carolina State University,-20956.363801516025,1064.0,0.0,9.0,4.0,2.0,3.0,1.0,1.0,0.0,1
