name_norm,ss__c0,ss_Player,ss_Pos,ss_Age,ss_Tm,ss_G,ss_GS,ss_MP,ss_PER,ss_TS%,ss_3PAr,ss_FTr,ss_ORB%,ss_DRB%,ss_AST%,ss_STL%,ss_BLK%,ss_TOV%,ss_USG%,ss_OWS,ss_DWS,ss_OBPM,ss_DBPM,ss_VORP,ss_3P,ss_3P%,ss_FT%,ss_ORB,ss_AST,ss_STL,ss_BLK,ss_TOV,pl_Player,pl_height,pl_weight,pl_collage,pl_birth_city,pl_birth_state,pd_name,pd_position,pd_height,pd_birth_date,pd_college,PC1
darko milicic,17993.0,Darko Milicic,C,20.0,TOT,55.0,1.0,767.0,15.2,0.52,0.009,0.214,7.2,16.8,9.2,1.0,7.8,16.6,19.0,0.0,1.1,-3.1,3.4,0.4,0.0,0.0,0.56,44.0,41.0,14.0,77.0,51.0,Darko Milicic,213.0,113.0,Unknown,Novi Sad,Serbia,Darko Milicic,F-C,7-0,"June 20, 1985",Unknown,-17983.25855026123
don chaney,4151.0,Don Chaney,SG,28.0,BOS,82.0,23.593374650359237,2208.0,12.9,0.471,0.15860433144009717,0.22,7.8,8.9,10.8,2.5,1.5,15.085098559901962,18.906491853360468,1.7,3.4,-0.9,2.0,1.7,22.215036720029588,0.24879631551634632,0.806,171.0,181.0,122.0,66.0,73.93983201832528,Don Chaney,196.0,95.0,University of Houston,Baton Rouge,Louisiana,Don Chaney,G,6-5,"March 22, 1946",University of Houston,-4125.814413569121
sam perkins,14828.0,Sam Perkins,PF,38.0,IND,81.0,0.0,1620.0,12.1,0.555,0.494,0.22,4.6,15.0,6.4,1.0,1.3,11.5,15.3,1.9,1.6,0.4,0.0,1.0,89.0,0.408,0.825,64.0,68.0,31.0,33.0,63.0,Sam Perkins,206.0,106.0,University of North Carolina,Brooklyn,New York,Sam Perkins,F-C,6-9,"June 14, 1961",University of North Carolina,-14809.04511810227
sean marks,17399.0,Sean Marks,PF,29.0,SAS,23.0,0.0,244.0,8.7,0.412,0.038,0.35,8.6,18.2,5.2,0.7,3.3,13.2,20.3,-0.3,0.5,-6.6,0.7,-0.2,0.0,0.0,0.786,18.0,8.0,3.0,11.0,14.0,Sean Marks,208.0,113.0,University of California,Auckland,New Zealand,Sean Marks,F-C,6-10,"August 23, 1975",University of California,-17395.220564796196
don chaney,3102.0,Don Chaney,SG,24.0,BOS,81.0,23.593374650359237,2289.0,13.0,0.515,0.15860433144009717,0.409,6.181565025009618,13.708657175836867,12.7,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,2.7,3.2,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.748,62.18920998220897,235.0,39.89705245948935,24.470260133673126,73.93983201832528,Don Chaney,196.0,95.0,University of Houston,Baton Rouge,Louisiana,Don Chaney,G,6-5,"March 22, 1946",University of Houston,-3076.099027076673
dave piontek,1906.0,Dave Piontek,SF,28.0,CIN,48.0,23.593374650359237,457.0,6.4,0.394,0.15860433144009717,0.101,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,-0.5,0.2,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.625,62.18920998220897,26.0,39.89705245948935,24.470260133673126,73.93983201832528,Dave Piontek,198.0,104.0,Xavier University,Unknown,Unknown,Dave Piontek,F-C,6-6,"August 27, 1934",Xavier University,-1900.683287424911
predrag drobnjak,17232.0,Predrag Drobnjak,C,29.0,ATL,71.0,1.0,1435.0,12.7,0.501,0.131,0.221,5.6,14.1,5.9,1.5,1.3,11.6,21.0,0.4,0.5,-2.6,-2.4,-1.1,25.0,0.352,0.8,73.0,49.0,42.0,24.0,78.0,Predrag Drobnjak,211.0,122.0,Unknown,Bijelo Polje,Montenegro,Predrag Drobnjak,C,6-11,"October 27, 1975",Unknown,-17214.885299624257
chris mihm,19105.0,Chris Mihm,C,28.0,LAL,23.0,5.0,278.0,7.7,0.384,0.0,0.284,11.7,18.8,6.6,0.7,3.6,13.7,19.6,-0.4,0.4,-6.5,0.1,-0.3,0.0,0.24879631551634632,0.667,28.0,13.0,4.0,14.0,17.0,Chris Mihm,213.0,120.0,University of Texas at Austin,Milwaukee,Wisconsin,Chris Mihm,C,7-0,"July 16, 1979",University of Texas at Austin,-19100.71517848581
darko milicic,20303.0,Darko Milicic,C,24.0,MIN,24.0,18.0,614.0,12.9,0.499,0.005,0.15,7.5,16.9,11.0,1.5,4.0,14.2,16.4,0.1,0.5,-2.5,2.0,0.2,0.0,0.0,0.536,42.0,43.0,18.0,33.0,33.0,Darko Milicic,213.0,113.0,Unknown,Novi Sad,Serbia,Darko Milicic,F-C,7-0,"June 20, 1985",Unknown,-20294.837077050906
don chaney,2691.0,Don Chaney,SG,22.0,BOS,20.0,23.593374650359237,209.0,6.3,0.328,0.15860433144009717,0.177,6.181565025009618,13.708657175836867,12.4,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,-0.9,0.4,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.4,62.18920998220897,19.0,39.89705245948935,24.470260133673126,73.93983201832528,Don Chaney,196.0,95.0,University of Houston,Baton Rouge,Louisiana,Don Chaney,G,6-5,"March 22, 1946",University of Houston,-2688.381321686384
